Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,4200.0,4220.0,4110.0,4110.0,3719.963623046875,106610000
2021-12-07,4190.0,4230.0,4160.0,4230.0,3828.575439453125,182048000
2021-12-08,4250.0,4250.0,4170.0,4210.0,3810.4736328125,143230200
2021-12-09,4220.0,4220.0,4160.0,4190.0,3792.371337890625,90471500
2021-12-10,4130.0,4160.0,4130.0,4130.0,3738.0654296875,122999200
2021-12-13,4170.0,4200.0,4160.0,4160.0,3765.218505859375,86848900
2021-12-14,4150.0,4160.0,4130.0,4130.0,3738.0654296875,100110000
2021-12-15,4150.0,4230.0,4140.0,4200.0,3801.42236328125,124522800
2021-12-16,4220.0,4220.0,4120.0,4140.0,3747.1162109375,136646600
2021-12-17,4090.0,4140.0,4090.0,4110.0,3719.963623046875,153165400
2021-12-20,4070.0,4130.0,4060.0,4120.0,3729.014404296875,89198900
2021-12-21,4100.0,4120.0,4080.0,4080.0,3692.810546875,109561800
2021-12-22,4100.0,4110.0,4050.0,4050.0,3665.657470703125,104738000
2021-12-23,4090.0,4110.0,4060.0,4100.0,3710.912353515625,72736800
2021-12-24,4100.0,4120.0,4050.0,4070.0,3683.759521484375,59795000
2021-12-27,4070.0,4110.0,4060.0,4060.0,3674.708251953125,65491200
2021-12-28,4090.0,4110.0,4070.0,4090.0,3701.861572265625,52952500
2021-12-29,4090.0,4100.0,4070.0,4080.0,3692.810546875,27676500
2021-12-30,4080.0,4140.0,4060.0,4110.0,3719.963623046875,146989400
2022-01-03,4120.0,4190.0,4090.0,4180.0,3783.3203125,90842500
2022-01-04,4200.0,4210.0,4160.0,4160.0,3765.218505859375,93950000
2022-01-05,4180.0,4230.0,4130.0,4210.0,3810.4736328125,174376400
2022-01-06,4240.0,4240.0,4140.0,4160.0,3765.218505859375,137280000
2022-01-07,4170.0,4200.0,4150.0,4190.0,3792.371337890625,101275000
2022-01-10,4190.0,4210.0,4180.0,4180.0,3783.3203125,70722600
2022-01-11,4180.0,4180.0,4130.0,4150.0,3756.167236328125,99404900
2022-01-12,4170.0,4180.0,4130.0,4160.0,3765.218505859375,65907000
2022-01-13,4180.0,4190.0,4170.0,4190.0,3792.371337890625,103522400
2022-01-14,4190.0,4210.0,4160.0,4180.0,3783.3203125,110213800
2022-01-17,4200.0,4210.0,4180.0,4210.0,3810.4736328125,102957100
2022-01-18,4240.0,4240.0,4140.0,4190.0,3792.371337890625,120275000
2022-01-19,4210.0,4210.0,4130.0,4130.0,3738.0654296875,109954700
2022-01-20,4130.0,4160.0,4110.0,4130.0,3738.0654296875,86394600
2022-01-21,4130.0,4170.0,4110.0,4170.0,3774.26953125,84972500
2022-01-24,4140.0,4160.0,4100.0,4120.0,3729.014404296875,76709900
2022-01-25,4100.0,4110.0,4000.0,4070.0,3683.759521484375,185007800
2022-01-26,4030.0,4100.0,4030.0,4090.0,3701.861572265625,97589500
2022-01-27,4070.0,4140.0,4060.0,4140.0,3747.1162109375,80682900
2022-01-28,4170.0,4170.0,4090.0,4140.0,3747.1162109375,84812100
2022-01-31,4170.0,4170.0,4070.0,4070.0,3683.759521484375,78498500
2022-02-02,4120.0,4120.0,4060.0,4070.0,3683.759521484375,81546300
2022-02-03,4180.0,4180.0,4130.0,4130.0,3738.0654296875,157898800
2022-02-04,4170.0,4210.0,4150.0,4210.0,3810.4736328125,236602900
2022-02-07,4240.0,4410.0,4220.0,4400.0,3982.442626953125,468016600
2022-02-08,4450.0,4550.0,4400.0,4440.0,4018.646240234375,310878100
2022-02-09,4400.0,4500.0,4380.0,4450.0,4027.697509765625,149000100
2022-02-10,4500.0,4500.0,4450.0,4470.0,4045.799560546875,112521600
2022-02-11,4420.0,4450.0,4380.0,4450.0,4027.697509765625,103418200
2022-02-14,4450.0,4450.0,4380.0,4410.0,3991.493408203125,105260000
2022-02-15,4440.0,4450.0,4390.0,4430.0,4009.595458984375,96658500
2022-02-16,4470.0,4470.0,4410.0,4420.0,4000.544677734375,89636300
2022-02-17,4390.0,4410.0,4340.0,4400.0,3982.442626953125,118305100
2022-02-18,4400.0,4440.0,4370.0,4430.0,4009.595458984375,127058000
2022-02-21,4460.0,4490.0,4440.0,4490.0,4063.901611328125,133717300
2022-02-22,4440.0,4470.0,4420.0,4430.0,4009.595458984375,109060900
2022-02-23,4520.0,4520.0,4460.0,4480.0,4054.850830078125,160827800
2022-02-24,4470.0,4470.0,4370.0,4390.0,3973.3916015625,217523600
2022-02-25,4450.0,4550.0,4410.0,4550.0,4118.20751953125,301346400
2022-03-01,4850.0,4860.0,4630.0,4630.0,4190.615234375,494657800
2022-03-02,4680.0,4690.0,4550.0,4560.0,4127.2587890625,186635200
2022-03-04,4720.0,4730.0,4610.0,4670.0,4226.81982421875,292022600
2022-03-07,4580.0,4630.0,4520.0,4520.0,4091.054443359375,224515800
2022-03-08,4500.0,4560.0,4430.0,4430.0,4009.595458984375,214870200
2022-03-09,4530.0,4590.0,4500.0,4570.0,4136.3095703125,191967100
2022-03-10,4640.0,4640.0,4510.0,4570.0,4136.3095703125,225575800
2022-03-11,4400.0,4440.0,4370.0,4400.0,4140.310546875,275965300
2022-03-14,4440.0,4540.0,4410.0,4520.0,4253.22802734375,212052100
2022-03-15,4550.0,4640.0,4530.0,4610.0,4337.916015625,357755700
2022-03-16,4650.0,4660.0,4610.0,4650.0,4375.55517578125,226817000
2022-03-17,4690.0,4700.0,4610.0,4650.0,4375.55517578125,224068000
2022-03-18,4700.0,4700.0,4580.0,4580.0,4309.6865234375,257863400
2022-03-21,4600.0,4630.0,4560.0,4590.0,4319.0966796875,118791900
2022-03-22,4690.0,4710.0,4640.0,4640.0,4366.1455078125,177758500
2022-03-23,4680.0,4690.0,4620.0,4650.0,4375.55517578125,146545100
2022-03-24,4640.0,4730.0,4620.0,4730.0,4450.83349609375,206271600
2022-03-25,4760.0,4760.0,4650.0,4710.0,4432.01416015625,137104800
2022-03-28,4730.0,4740.0,4670.0,4730.0,4450.83349609375,106801800
2022-03-29,4750.0,4750.0,4670.0,4690.0,4413.1943359375,93155100
2022-03-30,4740.0,4740.0,4690.0,4710.0,4432.01416015625,83364400
2022-03-31,4700.0,4750.0,4660.0,4660.0,4384.96484375,158650000
2022-04-01,4690.0,4730.0,4630.0,4730.0,4450.83349609375,145105000
2022-04-04,4730.0,4730.0,4660.0,4700.0,4422.60400390625,103902000
2022-04-05,4730.0,4740.0,4670.0,4700.0,4422.60400390625,76154300
2022-04-06,4690.0,4690.0,4600.0,4600.0,4328.505859375,111009800
2022-04-07,4670.0,4670.0,4620.0,4630.0,4356.7353515625,91942500
2022-04-08,4630.0,4650.0,4600.0,4610.0,4337.916015625,125657900
2022-04-11,4600.0,4620.0,4570.0,4570.0,4300.27685546875,109861100
2022-04-12,4550.0,4610.0,4550.0,4610.0,4337.916015625,96961200
2022-04-13,4640.0,4640.0,4590.0,4610.0,4337.916015625,112327600
2022-04-14,4600.0,4610.0,4530.0,4540.0,4272.04736328125,150659600
2022-04-18,4550.0,4580.0,4540.0,4550.0,4281.45703125,82795100
2022-04-19,4550.0,4600.0,4540.0,4570.0,4300.27685546875,148475600
2022-04-20,4610.0,4870.0,4600.0,4850.0,4563.7509765625,404383100
2022-04-21,4850.0,4850.0,4760.0,4800.0,4516.7021484375,208253300
2022-04-22,4750.0,4850.0,4720.0,4750.0,4469.65283203125,174349500
2022-04-25,4700.0,4850.0,4670.0,4840.0,4554.341796875,235752400
2022-04-26,4840.0,4980.0,4830.0,4940.0,4648.439453125,262734300
2022-04-27,4900.0,4930.0,4850.0,4850.0,4563.7509765625,191955100
2022-04-28,4870.0,4930.0,4860.0,4870.0,4582.57080078125,193821200
2022-05-09,4750.0,4760.0,4530.0,4530.0,4262.6376953125,561600400
2022-05-10,4260.0,4530.0,4260.0,4530.0,4262.6376953125,435782800
2022-05-11,4550.0,4580.0,4480.0,4490.0,4224.99853515625,205233800
2022-05-12,4490.0,4490.0,4300.0,4320.0,4065.0322265625,207373600
2022-05-13,4250.0,4360.0,4250.0,4250.0,3999.16357421875,336711300
2022-05-17,4270.0,4520.0,4270.0,4450.0,4187.359375,272650400
2022-05-18,4500.0,4530.0,4430.0,4450.0,4187.359375,129716500
2022-05-19,4350.0,4460.0,4300.0,4440.0,4177.94970703125,132614900
2022-05-20,4440.0,4490.0,4410.0,4430.0,4168.53955078125,122101000
2022-05-23,4410.0,4440.0,4320.0,4330.0,4074.441650390625,175709000
2022-05-24,4320.0,4500.0,4320.0,4460.0,4196.76904296875,165758600
2022-05-25,4430.0,4450.0,4350.0,4350.0,4093.261474609375,138961700
2022-05-27,4500.0,4540.0,4440.0,4540.0,4272.04736328125,209962100
2022-05-30,4540.0,4540.0,4390.0,4430.0,4168.53955078125,193724500
2022-05-31,4470.0,4630.0,4450.0,4630.0,4356.7353515625,379626500
2022-06-02,4540.0,4600.0,4480.0,4480.0,4215.58837890625,225697500
